modifier_section_id|sequence_nr|display_choice_name_en|display_choice_name_ar|default_price|currency_id|default_quantity|max_choice_count|min_choice_count|meta_status
33|5|fries & sprite zero|Fries & Sprite Zero|16.00|1|0|1|0|active
33|6|fries & fanta|Fries & Fanta|16.00|1|0|1|0|active
33|7|fries & arwa|Fries & Arwa|15.00|1|0|1|0|active
34|1|no onions|No onions|0.00|1|0|1|0|active
34|2|no sauce|No sauce|0.00|1|0|1|0|active
34|3|no tomatoes|No tomatoes|0.00|1|0|1|0|active
34|4|no pickles|No pickles|0.00|1|0|1|0|active
34|5|no lettuce|No lettuce|0.00|1|0|1|0|active
34|6|no cheese|No cheese|0.00|1|0|1|0|active
34|7|no mustard|No mustard|0.00|1|0|1|0|active
34|8|no cabbage|No cabbage|0.00|1|0|1|0|active
35|1|coleslaw|Coleslaw|0.00|1|0|1|0|active
35|2|green salad|Green Salad|0.00|1|0|1|0|active
35|3|three beans salad|Three Beans Salad|0.00|1|0|1|0|active
35|4|potato salad|Potato Salad|0.00|1|0|1|0|active
36|1|coleslaw|Coleslaw|0.00|1|0|1|0|active
36|2|green salad|Green Salad|0.00|1|0|1|0|active
36|3|three beans salad|Three Beans Salad|0.00|1|0|1|0|active
36|4|potato salad|Potato Salad|0.00|1|0|1|0|active
37|1|coleslaw|Coleslaw|0.00|1|0|6|0|active
37|2|green salad|Green Salad|0.00|1|0|6|0|active
37|3|three bean salad|Three Bean Salad|0.00|1|0|6|0|active
37|4|southern style rice|Southern Style Rice|0.00|1|0|6|0|active
37|5|potato salad|Potato Salad|0.00|1|0|6|0|active
37|6|tmf fries|TMF Fries|0.00|1|0|6|0|active
38|1|coca cola|Coca Cola|0.00|1|0|6|0|active
38|2|coca cola light|Coca Cola Light|0.00|1|0|6|0|active
38|3|sprite|Sprite|0.00|1|0|6|0|active
38|4|sprite zero|Sprite Zero|0.00|1|0|6|0|active
38|5|fanta|Fanta|0.00|1|0|6|0|active
38|6|arwa water|Arwa Water|0.00|1|0|6|0|active
39|1|extra 500g|Extra 500g|150.00|1|0|2|0|active
39|2|extra 1kg|Extra 1kg|280.00|1|0|2|0|active
40|1|ketchup|Ketchup|0.00|1|0|1|0|active
40|2|mayonnaise|Mayonnaise|0.00|1|0|1|0|active
40|3|house chipotle mayo*|House Chipotle Mayo*|1.00|1|0|1|0|active
40|4|house creamy bbq*|House Creamy BBQ*|2.00|1|0|1|0|active
41|1|yes! cheese on the side|Yes! Cheese on the side|4.00|1|0|1|0|active
42|1|yes! cheese on the side|Yes! Cheese on the side|4.00|1|0|1|0|active
43|1|yes! cheese on the side|Yes! Cheese on the side|4.00|1|0|1|0|active
